resort,name,name_en,status,status_code,price_per_person_night,price_display,price_unit,group_total_est,meal_plan,lift_pass_est,lift_pass_4day,recommended_rental_shop,rental_daily_est,total_nights_available,phone,lift_proximity,room_recommendation,area,address,direct_link,notes
Kusatsu & Manza,草津ナウリゾートホテル (Kusatsu Now Resort Hotel),Kusatsu Now Resort Hotel (Onsen & Free Ski Shuttle),Available / Holiday Packages,AVAILABLE,25000,"¥25,000 ~ ¥36,000",/ person / night,"¥500,000 ~ ¥720,000 (5 guests • 4 nights)",Half-Board (Gourmet roast beef & crab buffet + breakfast),"1-Day: ¥5,500 | 4-Day: ¥20,000","¥20,000",Tenguyama Base Rental Center (Kusatsu Tenguyama Main Rest House),"Standard ¥4,500/d | Powder Demo ¥6,200/d",4,0279-88-2111,5 mins free private shuttle to Kusatsu Onsen Ski Resort (Tenguyama Base),Japanese-Western Family Suite (Sleeps 5 comfortably),Kusatsu Onsen Forest Ski Hub,群馬県吾妻郡草津町白根750,https://www.kusatsu-now.co.jp/,World #1 ranked onsen town with great alpine skiing at Mt. Shirane; luxury buffet dining with roast beef & crab.
Kusatsu & Manza,草津温泉 ホテルヴィレッジ (Hotel Village Kusatsu),Hotel Village Kusatsu (Forest Chalet Resort),Available / Cottage Chalets,AVAILABLE,18500,"¥18,500 ~ ¥26,000",/ person / night,"¥370,000 ~ ¥520,000 (5 guests • 4 nights)",Half-Board (Chalet buffet & thermal onsen),"1-Day: ¥5,500 | 4-Day: ¥20,000","¥20,000",Tenguyama Base Rental Center (Kusatsu Tenguyama Main Rest House),"Standard ¥4,500/d | Powder Demo ¥6,200/d",4,0279-88-3232,Free shuttle bus to Kusatsu Onsen Ski Resort,Forest Log House Cottage (Sleeps 5-6 adults in private chalet),Kusatsu Onsen Nature Forest,群馬県吾妻郡草津町草津618,https://www.hotel-village.co.jp/,Spacious private forest log cottages ideal for 5 guys hanging out together with private living room and thermal onsen pools.
Madarao & Tangram,ペンション ジャスミン (Pension Jasmine),Pension Jasmine Madarao,Available / Direct Call,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥6,500 | 4-Day: ¥23,000","¥23,000",Shirakaba Rental Shop (Madarao Kogen Base Plaza),"Standard ¥4,800/d | Powder Demo ¥6,500/d",4,0269-64-3217,3 mins walk to ski slope / ski shuttle,Loft Room (Sleeps 5 comfortably),Madarao Pension Village,長野県飯山市斑尾高原1101-92,https://madarao.tv/jasmine/,Cozy mountain lodge known for home-cooked European dinners and warm atmosphere.
Madarao & Tangram,ホテル タングラム 斑尾 (Hotel Tangram Tokyu Resort),Hotel Tangram Madarao (Tokyu Resort Ski-In / Ski-Out),Winter Season Live,AVAILABLE,21000,"¥21,000 ~ ¥29,500",/ person / night,"¥420,000 ~ ¥590,000 (5 guests • 4 nights)",Half-Board (Tokyu dinner & breakfast buffet),"1-Day: ¥6,500 | 4-Day: ¥23,000","¥23,000",Shirakaba Rental Shop (Madarao Kogen Base Plaza),"Standard ¥4,800/d | Powder Demo ¥6,500/d",4,026-258-3511,Ski-in / Ski-out (Direct to Tangram No. 1 Quad Lift),"Japanese-Western Family Suite (40sqm, sleeps 5)",Tangram Ski Circus Base,長野県上水内郡信濃町古海3575-8,https://www.tangram.jp/hotel/,"Large Tokyu resort hotel with indoor pool, onsen, and interconnected slopes to Madarao powder bowl."
Madarao & Tangram,ホテル モナイル斑尾 (Hotel Monaile Madarao),Hotel Monaile Madarao,Available / Group Rooms,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥6,500 | 4-Day: ¥23,000","¥23,000",Shirakaba Rental Shop (Madarao Kogen Base Plaza),"Standard ¥4,800/d | Powder Demo ¥6,500/d",4,0269-64-3211,Ski-in / Ski-out access to Madarao slopes,5-Bed Western Family Suite,Madarao Mid-Mountain,長野県飯山市斑尾高原,https://www.madarao.jp/monaile,"Sister hotel to Madarao Kogen Hotel, spacious rooms with ski locker storage."
Madarao & Tangram,斑尾高原ホテル (Madarao Kogen Hotel),Madarao Kogen Hotel (Direct Ski-In / Ski-Out),Check Live Calendar / Booking Open,AVAILABLE,19500,"¥19,500 ~ ¥26,000",/ person / night,"¥390,000 ~ ¥520,000 (5 guests • 4 nights)",Half-Board (Buffet dinner + breakfast),"1-Day: ¥6,500 | 4-Day: ¥23,000","¥23,000",Shirakaba Rental Shop (Madarao Kogen Base Plaza),"Standard ¥4,800/d | Powder Demo ¥6,500/d",4,0269-64-3311,Ski-in / Ski-out (0m to Madarao Super Quad lift),Western Triple + Twin (2 rooms) or Japanese Family Room,Madarao Base / Tree Run Bowl,長野県飯山市斑尾高原,https://d-reserve.jp/GSEA001F01300/GSEA001A01?hotelCode=0000001749&checkIn=20261229&stay=4&adult=5,"Direct ski slope access, natural onsen. Fast 25-minute shuttle from Iiyama Shinkansen Station."
Myoko Kogen,ペンション無添加 (Pension Mutenka Suginohara),Pension Mutenka (Near Japan's Longest 8.5km Run),Direct Inquiry / Minshuku Rate,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥6,000 | 4-Day: ¥22,000","¥22,000",Myoko Snowsports (Akakura Onsen Village (Main Street)),"Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0255-86-6515,3 mins shuttle to Suginohara Gondola Base,Large Japanese Tatami Room (Sleeps 5),Myoko Suginohara (Longest Run),新潟県妙高市杉野沢2505-1,https://www.mutenka-pension.com/,"Home-made organic cuisine, perfect access to Suginohara's massive 8.5km groomers and powder lines."
Myoko Kogen,ホテル太閤 (Akakura Onsen Hotel Taiko),Hotel Taiko (Panoramic Open-air Onsen),Available for Holiday Stay,AVAILABLE,24000,"¥24,000 ~ ¥34,000",/ person / night,"¥480,000 ~ ¥680,000 (5 guests • 4 nights)",Half-Board (Onsen Kaiseki banquet + breakfast),"1-Day: ¥6,000 | 4-Day: ¥22,000","¥22,000",Myoko Snowsports (Akakura Onsen Village (Main Street)),"Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0255-87-3111,6 mins walk / 2 mins shuttle to Akakura Onsen ski lifts,Large Japanese Tatami Suite (12 tatami mats for 5 futons),Akakura Onsen Village,新潟県妙高市赤倉402,https://www.hotel-taiko.com/,"Famous panoramic outdoor hot springs facing Mt. Myoko, traditional kaiseki multi-course dinners."
Myoko Kogen,ロッテアライリゾート (Lotte Arai Resort),Lotte Arai Resort (Japan's Deepest Powder Mecca),Winter Open / High Capacity,AVAILABLE,32000,"¥32,000 ~ ¥48,000",/ person / night,"¥640,000 ~ ¥960,000 (5 guests • 4 nights)",Breakfast buffet & Hoshizora Onsen pass,"1-Day: ¥6,000 | 4-Day: ¥22,000","¥22,000",Myoko Snowsports (Akakura Onsen Village (Main Street)),"Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0255-75-1100,Ski-in / Ski-out (Arai Gondola Base Station),Superior Family Room (5 beds) or 2 Deluxe Twin Rooms,Lotte Arai Freeride Mountain,新潟県妙高市両善寺1966,https://www.lottehotel.com/arai-resort/ja.html,"Voted Best Ski Resort in Japan for freeride terrain, averaging over 15+ meters of snowfall per season."
Myoko Kogen,妙高マウンテンロッジ (Myoko Mountain Lodge),Myoko Mountain Lodge (Western Ski Lodge),Available / Group Dorm or Private,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥6,000 | 4-Day: ¥22,000","¥22,000",Myoko Snowsports (Akakura Onsen Village (Main Street)),"Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0255-78-7555,"Free morning ski shuttles to Akakura, Suginohara & Ikenotaira",Private Group Chalet / 5-Bed Family Suite,Akakura Onsen / Yakeyama,新潟県妙高市二俣1526-444,https://myokomountainlodge.com/,English-friendly powder ski lodge catering to groups with gear drying room and craft beer bar.
Myoko Kogen,赤倉パークホテル (Akakura Park Hotel),Akakura Park Hotel,Available / Group Friendly,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥6,000 | 4-Day: ¥22,000","¥22,000",Myoko Snowsports (Akakura Onsen Village (Main Street)),"Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0255-87-2221,3 mins walk to Akakura Onsen ski lifts,Japanese Tatami 10-mat Room (Sleeps 5),Akakura Onsen Main Street,新潟県妙高市赤倉218,https://www.akakurapark.com/,"Steps away from village restaurants, izakayas, and ski rentals. Natural sulfur onsen."
Myoko Kogen,赤倉観光ホテル (Akakura Kanko Hotel),Akakura Kanko Hotel (Historic 1937 Ski-in / Ski-out),Check Winter Availability,AVAILABLE,36000,"¥36,000 ~ ¥52,000",/ person / night,"¥720,000 ~ ¥1,040,000 (5 guests • 4 nights)",Half-Board (French fine dining & breakfast buffet),"1-Day: ¥6,000 | 4-Day: ¥22,000","¥22,000",Myoko Snowsports (Akakura Onsen Village (Main Street)),"Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0255-87-2501,"Direct Ski-in / Ski-out on Mt. Myoko slopes (1,000m elevation)",Main Building Japanese-Western Suite or 2 Twin Rooms,Akakura Kanko Ski Resort Base,新潟県妙高市田切216,https://www.akr-hotel.com/,One of Japan's most iconic luxury ski hotels with outdoor panoramic infinity onsen overlooking the sea of clouds.
Nozawa Onsen,あづまや,Ryokan Azumaya (Live Vacancy),Available for All 4 Nights,AVAILABLE,8380,"¥8,380 ~ ¥10,500",/ person / night,"¥167,670 (Entire Floor for 5-6 pax)",Room Only (Kitchen & private floor),"1-Day: ¥7,300 | 4-Day: ¥26,000","¥26,000",Compass House (Nagasaka Gondola Base (100m walk)),"Standard ¥5,500/d | Powder Demo ¥7,000/d",4,0269-85-2041,Village center (5-10 mins to Yu-road / Shuttle),Japanese Tatami (Washitsu 10-12 tatami futons for 5),Nozawa Village / Nagasaka / Hikage,長野県下高井郡野沢温泉村,https://reserve.489ban.net/group/client/nozawakanko/0/plan?customer=4024,Traditional ryokan with full private floor rental suitable for 5-6 adults. Verified live.
Ryuoo & Togakushi,ホテル ノース志賀 (Hotel North Shiga - Ryuoo Ski Park),Hotel North Shiga (Direct Ryuoo Ropeway Access),Available / Big Powder Bowls,AVAILABLE,13500,"¥13,500 ~ ¥19,000",/ person / night,"¥270,000 ~ ¥380,000 (5 guests • 4 nights)",Half-Board (Hot pot dinner buffet & breakfast),"1-Day: ¥5,500 | 4-Day: ¥20,000","¥20,000",Ryuoo Information Center Rental (Valley Cable Base Center (1F)),"Standard ¥4,500/d | Powder Demo ¥6,500/d",4,0269-33-7111,Ski-in / Ski-out (1 min walk to Ryuoo 166-person Mega Ropeway),Japanese Tatami 12-mat Room (Sleeps 5),Ryuoo Ski Park Base Station,長野県下高井郡山ノ内町夜間瀬11700-18,https://www.northshiga.co.jp/,Direct access to Ryuoo's legendary Sora Terrace 'Sea of Clouds' and the notorious 36-degree un-groomed Kiotoshi powder drop.
Ryuoo & Togakushi,戸隠小出旅館 (Togakushi Oide Ryokan / Ski Lodge),Togakushi Oide Lodge (Authentic Soba & Magic Powder),Available / Hidden Gem,AVAILABLE,11000,"¥11,000 ~ ¥16,000",/ person / night,"¥220,000 ~ ¥320,000 (5 guests • 4 nights)",Japanese breakfast & homemade Togakushi soba,"1-Day: ¥5,500 | 4-Day: ¥20,000","¥20,000",Ryuoo Information Center Rental (Valley Cable Base Center (1F)),"Standard ¥4,500/d | Powder Demo ¥6,500/d",4,026-254-2022,2 mins walk / 1 min shuttle to Togakushi Ski Resort Central Quad,Japanese Washitsu 12-mat Suite (Futons for 5),Togakushi Mountain Resort (Nagano City Secret Powder),長野県長野市戸隠越水3682-1,https://oide-ryokan.com/,Locals' favorite hidden powder paradise with dry snow due to inland altitude; world famous handmade Togakushi buckwheat soba.
Shiga Kogen,ホテル グランフェニックス奥志賀 (Hotel Grand Phenix Okushiga),Hotel Grand Phenix (Luxury Swiss Alpine Ski Resort),Winter Season Booking Live,AVAILABLE,38000,"¥38,000 ~ ¥58,000",/ person / night,"¥760,000 ~ ¥1,160,000 (5 guests • 4 nights)",Half-Board (Italian / Kaiseki multi-course + breakfast),"1-Day: ¥8,000 | 4-Day: ¥28,500","¥28,500","Snowcan Network (Hasuike, Ichinose Diamond, Sunvalley)","Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0269-34-3611,Direct Ski-in / Ski-out (Okushiga Gondola Base),Deluxe Twin + Extra Bed or Royal Suite,Okushiga Kogen Ski Base,長野県下高井郡山ノ内町奥志賀高原,https://www.hotel-grandphenix.co.jp/,"Favored by Japanese imperial family; features luxury indoor swimming pool, open log fireplace and Italian lounge."
Shiga Kogen,ホテル一の瀬 (Shiga Kogen Hotel Ichinose),Hotel Ichinose (Central Shiga Interconnected Hub),Available / Group Rooms,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥8,000 | 4-Day: ¥28,500","¥28,500","Snowcan Network (Hasuike, Ichinose Diamond, Sunvalley)","Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0269-34-2411,1 min walk to Ichinose Family Quad Lift,Japanese Tatami 12-mat Room (Sleeps 5),Ichinose Family Ski Base (Heart of Shiga),長野県下高井郡山ノ内町志賀高原一の瀬,https://www.hotel-ichinose.co.jp/,"Located at the central crossroads of Shiga Kogen, easily ski to all 18 connected ski mountains."
Shiga Kogen,奥志賀高原ホテル (Okushiga Kogen Hotel),Okushiga Kogen Hotel (Alpine Chalet),Available / Natural Powder,AVAILABLE,24000,"¥24,000 ~ ¥35,000",/ person / night,"¥480,000 ~ ¥700,000 (5 guests • 4 nights)",Half-Board (French alpine dinner & breakfast),"1-Day: ¥8,000 | 4-Day: ¥28,500","¥28,500","Snowcan Network (Hasuike, Ichinose Diamond, Sunvalley)","Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0269-34-2034,Direct Ski-in / Ski-out (Okushiga No. 1 Pair Lift),2 Twin Rooms or Family Suite,Okushiga Kogen Base,長野県下高井郡山ノ内町奥志賀高原,https://okushigakogen.com/,"100% natural snow only, peaceful alpine setting, renowned French & Japanese dining."
Shiga Kogen,志賀高原プリンスホテル (Shiga Kogen Prince Hotel),Shiga Kogen Prince Hotel (East / South / West Wings),Winter Booking Live,AVAILABLE,17500,"¥17,500 ~ ¥25,000",/ person / night,"¥350,000 ~ ¥500,000 (5 guests • 4 nights)",Buffet breakfast & ski storage privileges,"1-Day: ¥8,000 | 4-Day: ¥28,500","¥28,500","Snowcan Network (Hasuike, Ichinose Diamond, Sunvalley)","Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0269-34-3111,Direct Ski-in / Ski-out (Yakebitaiyama Gondola Base),2 Twin/Triple Rooms (South/West Wing),Yakebitaiyama (Mt. Yakebitai),長野県下高井郡山ノ内町志賀高原焼額山,https://www.princehotels.co.jp/shiga/,Highest elevation ski resort in Japan with reliable powder snow in late December.
Shiga Kogen,熊の湯ホテル (Kumanoyu Hotel - Green Onsen),Kumanoyu Hotel (Famous Emerald Hot Springs),Winter Booking Live,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥8,000 | 4-Day: ¥28,500","¥28,500","Snowcan Network (Hasuike, Ichinose Diamond, Sunvalley)","Standard ¥5,000/d | Powder Demo ¥7,000/d",4,0269-34-2311,Ski-in / Ski-out to Kumanoyu North-facing slopes,Japanese Tatami 10-mat Suite (Sleeps 5),Kumanoyu Ski Resort (North-Facing Powder),長野県下高井郡山ノ内町志賀高原熊の湯温泉,https://www.kumanoyu.co.jp/,World-famous emerald-green natural spring waters and ultra-dry dry-powder snow.
Sugadaira Kogen,菅平プリンスホテル (Sugadaira Prince Hotel),Sugadaira Prince Hotel (Swiss Plateau Powder),Available / Continental Dry Powder,AVAILABLE,17500,"¥17,500 ~ ¥25,000",/ person / night,"¥350,000 ~ ¥500,000 (5 guests • 4 nights)",Buffet breakfast & ski storage privileges,"1-Day: ¥6,500 | 4-Day: ¥24,000","¥24,000",Karuizawa Prince Ski Center Rental (Karuizawa Prince Ski Center (East & West)),"Standard ¥5,000/d | Powder Demo ¥6,500/d",4,0268-74-2100,2 mins walk to Davos ski area,Japanese Tatami 10-12 mat Room (Sleeps 5),Sugadaira Davos & Taro Slopes,長野県上田市菅平高原1223-1959,https://sugadaira.com/prince/,"Known as Japan's coldest ski plateau, ultra dry continental snow and expansive sun-drenched pistes."
Yuzawa & Naeba,NASPA ニューオータニ (NASPA New Otani),NASPA New Otani Resort,Available / High Capacity,AVAILABLE,26000,"¥26,000 ~ ¥38,000",/ person / night,"¥520,000 ~ ¥760,000 (5 guests • 4 nights)",Buffet breakfast & onsen access,"1-Day: ¥7,500 | 4-Day: ¥27,000","¥27,000",Salomon Station Naeba (Naeba Prince Hotel (Bldg 4 & 6)),"Standard ¥5,200/d | Powder Demo ¥7,200/d",4,025-780-6111,Dedicated ski resort at doorstep; 3 mins shuttle to Shinkansen,Japanese-Western Suite (Sleeps 5 comfortably),Echigo-Yuzawa Station Hub (70m from Tokyo),新潟県南魚沼郡湯沢町湯沢2117-9,https://www.naspa.co.jp/,Direct 70-minute bullet train from Tokyo Station. Excellent backup if Nozawa village is completely sold out.
Yuzawa & Naeba,かぐらみつまたロッジ (Kagura Mitsumata Powder Lodge),Kagura Mitsumata Lodge,Available / Powder Chaser Favorite,AVAILABLE,12500,"¥11,000 ~ ¥17,500",/ person / night,"¥220,000 ~ ¥350,000 (5 guests • 4 nights)",Breakfast included,"1-Day: ¥7,500 | 4-Day: ¥27,000","¥27,000",Salomon Station Naeba (Naeba Prince Hotel (Bldg 4 & 6)),"Standard ¥5,200/d | Powder Demo ¥7,200/d",4,025-788-9121,1 min walk to Mitsumata Ropeway Base (Kagura ski area),5-Bed Private Bunk/Tatami Suite,Kagura Ski Resort (Deep Powder Base),新潟県南魚沼郡湯沢町三俣970-1,https://kagura-mitsumata.jp/,Kagura is famous for receiving the deepest and driest powder in the Niigata/Yuzawa region.
Yuzawa & Naeba,ホテル双葉 (Hotel Futaba - 28 Onsen Baths),Hotel Futaba (Luxury Onsen Ryokan),Available / Group Suites,AVAILABLE,24000,"¥24,000 ~ ¥34,000",/ person / night,"¥480,000 ~ ¥680,000 (5 guests • 4 nights)",Half-Board (Onsen Kaiseki banquet + breakfast),"1-Day: ¥7,500 | 4-Day: ¥27,000","¥27,000",Salomon Station Naeba (Naeba Prince Hotel (Bldg 4 & 6)),"Standard ¥5,200/d | Powder Demo ¥7,200/d",4,025-784-3357,Free 5 min shuttle to Gala Yuzawa & Yuzawa Kogen ropeway,Japanese Tatami 12.5-mat Room (Sleeps 5 comfortably),Echigo-Yuzawa Onsen Town,新潟県南魚沼郡湯沢町湯沢419,https://www.hotel-futaba.com/,Features 28 different natural hot spring baths across multiple rooftop observation decks.
