resort,name,cid,booking_engine,status,available_dates_found,phone,address,direct_link,notes
Nozawa Onsen,あづまや,4024,489ban Group (Nozawa Tourism Bureau),Available (3 dates in range),3,070-9458-1997,長野県下高井郡野沢温泉村豊郷8804,https://reserve.489ban.net/nozawakanko/azumaya/0/plan/search?date=2026%2F12%2F29&roomCount=1,Traditional onsen ryokan/pension; New Year reservations may open on staggered schedule (check direct/phone)
Hakuba Valley,レストラン＆ホテル トロイメライ,985,489ban Group (Hakuba Tourism),Available (6 dates in window),6,,"白馬村, 長野県",https://reserve.489ban.net/hakuba-nagano/traumerei/0/plan/search?date=2026%2F12%2F29&roomCount=1,Hakuba lodge
Hakuba Valley,Snow Peak FIELD SUITE HAKUBA KITAONE KOGEN,1921,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,ホテル　対岳館,1846,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,ホテル五龍館,1847,489ban Group (Hakuba Tourism),Available (14 dates in window),14,,"白馬村, 長野県",https://reserve.489ban.net/hakuba-nagano/goryukan/0/plan/search?date=2026%2F12%2F29&roomCount=1,Min 5 nights until Oct 1 (3-night opens Oct 1; 1-night opens Nov 1)
Hakuba Valley,白馬・八方温泉「八方館」,1858,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,信州白馬八方温泉しろうま荘,1868,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,ベルクトール丸北,1845,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,山田屋旅館,1839,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,STARRY Residence Suite / STARRY denim,1832,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,白馬五竜ペンションくるみ,1826,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,ホテル　ステラベラ,1822,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,アルペンブリック入山登,3326,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,白馬森のわさび農園オートキャンプ場,3335,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,KuDo's Lodge,3339,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,民宿 たかね荘,3361,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,白馬東急ホテル,1994,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,ホテル オークフォレスト,3358,489ban Group (Hakuba Tourism),Available (8 dates in window),8,,"白馬村, 長野県",https://reserve.489ban.net/hakuba-nagano/oak-forest/0/plan/search?date=2026%2F12%2F29&roomCount=1,Hakuba lodge
Hakuba Valley,はくば Moegi HOTEL,3325,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,めぞん・ど・ささがわ,3345,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,KANOLLY Resorts Hakuba,2725,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,ピレモン,3360,489ban Group (Hakuba Tourism),Not Opened / Fully Booked,0,,"白馬村, 長野県",https://reserve.489ban.net/group/client/hakuba-nagano/0/plan,Hakuba lodge
Hakuba Valley,オーク ヴィレッジ,3357,489ban Group (Hakuba Tourism),Available (3 dates in window),3,,"白馬村, 長野県",https://reserve.489ban.net/hakuba-nagano/oak-village/0/plan/search?date=2027%2F01%2F03&roomCount=1,Hakuba lodge
Madarao Kogen,Madarao Kogen Hotel,0000001749,DirectIn (Dynatech),Check Live Calendar,0,0269-64-3311,長野県飯山市斑尾高原,https://d-reserve.jp/GSEA001F01300/GSEA001A01?hotelCode=0000001749,Direct ski-in/ski-out hotel with natural hot spring; 25 mins bus from Iiyama Shinkansen
Nozawa Onsen,Nozawa Onsen Tourism Bureau Direct Inquiry Clearing,TOURISM_FORM,Official Tourism Concierge Matching,Direct Request Available,1,0269-85-3155,長野県下高井郡野沢温泉村大字豊郷5043-3,https://docs.google.com/forms/d/e/1FAIpQLSdV7vpETa9Yu9dwJB-92oyWYr7ibMgYvO5ZIThRy5PzGfecGg/viewform?usp=sharing&ouid=112515000462406041687,Tourism association manual matching service for unlisted ryokan/minshuku rooms
